title,photo_url,res1,res2,res3,res4,mos1,mos2,mos3,mos4,final_mos
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAirlinertopviewsvg.png,1.0,2.0,2.0,1.0,1.5,2.0,2.0,1.5,1.75
  cartoon man with a speech bubble,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonAnnounceArvin61r58svg.png,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,3.75
  the cad drawing of a classic car,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousShelbyCobrablueprintsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an old woman in a bathing suit holding a stick,https://storage.yandexcloud.net/svg-images-first-pack/good1547377785svg.png,3.0,3.0,2.0,2.0,4.0,4.0,3.5,3.5,3.75
  the world is shown in the document,https://storage.yandexcloud.net/svg-images-first-pack/good1270238819svg.png,1.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0,2.125
  a cartoon pig with a big smile,https://storage.yandexcloud.net/svg-images-first-pack/good1549541525svg.png,2.0,2.0,2.0,2.0,3.0,2.5,3.0,3.0,2.875
  yin yang symbol png,https://storage.yandexcloud.net/svg-images-first-pack/goodcristiansvg.png,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1527040715svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  four different colored pin points with a question mark and an email icon,https://storage.yandexcloud.net/svg-images-first-pack/goodcoloriconssvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a green bird with a long tail flying in the air,https://storage.yandexcloud.net/svg-images-first-pack/goodArchitettoDino10svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon girl with purple hair and pink shoes,https://storage.yandexcloud.net/svg-images-first-pack/good1430973767svg.png,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbigguysmokingsvg.png,1.0,2.0,2.0,1.0,3.0,3.5,3.5,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBedlampsvg.png,1.0,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good30Mark1404504svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCircularOrnament25svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
  a cartoon character with a number six on his head,https://storage.yandexcloud.net/svg-images-first-pack/goodBoyholdssomethingbehindhisbacksvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBanksyChildSledgehammerSilhouettesvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousbullsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  eiffel tower clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousEiffeltowersvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter336svg.png,4.0,3.0,2.0,1.0,4.5,3.5,3.0,3.0,3.5
  a black and white drawing of a man's head,https://storage.yandexcloud.net/svg-images-first-pack/good9vaCartoonHead58svg.png,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.75
  a black and yellow circle with a bird flying over it,https://storage.yandexcloud.net/svg-images-first-pack/goodcrane02svg.png,1.0,1.0,1.0,1.0,3.0,2.5,2.5,2.5,2.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbeehivesvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  penguin chef holding carrot,https://storage.yandexcloud.net/svg-images-first-pack/good1548428765svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
  a red and blue bird with a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymoustabletennissvg.png,5.0,4.0,5.0,4.0,3.0,2.5,3.0,2.5,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodArtFavorDangerInDeepSpace21svg.png,4.0,4.0,4.0,4.0,2.5,3.0,3.0,2.5,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1420410436svg.png,4.0,5.0,4.0,5.0,3.5,4.0,4.0,4.0,3.875
  mouse with a shovel and a hat,https://storage.yandexcloud.net/svg-images-first-pack/good1432651894svg.png,3.0,2.0,4.0,2.0,2.5,2.0,3.0,1.5,2.25
  giorno logo vector,https://storage.yandexcloud.net/svg-images-first-pack/good1548155859svg.png,3.0,3.0,2.0,4.0,4.0,3.0,2.5,3.5,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1462061420svg.png,1.0,1.0,1.0,1.0,1.0,1.5,2.0,1.0,1.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1529489911svg.png,2.0,1.0,2.0,2.0,3.5,2.5,3.0,3.5,3.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1276406185svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodConstructiveAnatomyDrawingBook41svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a blue motorcycle rider is riding in the air,https://storage.yandexcloud.net/svg-images-first-pack/good1336282248svg.png,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1546119416svg.png,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
  a cartoon character drinking from a bottle,https://storage.yandexcloud.net/svg-images-first-pack/good1545441167svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon of people running on a field with a paper cutout of a baseball,https://storage.yandexcloud.net/svg-images-first-pack/good1426144510svg.png,3.0,2.0,1.0,2.0,2.5,2.0,2.0,3.0,2.375
  a cartoon elf holding a candy cane,https://storage.yandexcloud.net/svg-images-first-pack/goodChristmasElfsvg.png,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.875
  the king game - screenshot,https://storage.yandexcloud.net/svg-images-first-pack/good1466134373svg.png,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
  a speech bubble with a white outline,https://storage.yandexcloud.net/svg-images-first-pack/goodBULLE04EMPTYsvg.png,4.0,4.0,4.0,4.0,4.5,3.0,2.5,4.5,3.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1513171348svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  the number six is shown in a black and white image,https://storage.yandexcloud.net/svg-images-first-pack/good2017NeralyHeresvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a colorful windmill with leaves flying around it,https://storage.yandexcloud.net/svg-images-first-pack/good1506614770svg.png,5.0,4.0,5.0,2.0,5.0,4.5,5.0,3.5,4.5
  a red barn with a rainbow colored logo on it,https://storage.yandexcloud.net/svg-images-first-pack/good1531427026svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  notte - a new way to shop,https://storage.yandexcloud.net/svg-images-first-pack/good1548176761svg.png,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.5
  an old vinyl record on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodBenBoisVinylrecordssvg.png,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodboozeframesvg.png,3.0,3.0,4.0,2.0,4.0,4.0,4.5,3.5,4.0
  let's oblitrate surveillance,https://storage.yandexcloud.net/svg-images-first-pack/good1391534592svg.png,2.0,4.0,3.0,2.0,3.5,4.5,4.0,3.5,3.875
  a cartoon woman holding a heart,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonWomanInLovesvg.png,2.0,4.0,4.0,4.0,3.5,4.5,4.5,4.5,4.25
  a person with a skeleton in the chest,https://storage.yandexcloud.net/svg-images-first-pack/good1576601359Simplexraymansvg.png,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.25
  an ambulance with a red cross on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousArchitettoAmbulanzasvg.png,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.5,3.375
  power water heater with blue and white buttons,https://storage.yandexcloud.net/svg-images-first-pack/goodAnomalyGlosniksvg.png,2.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1500651384svg.png,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.75
  a beautiful mountain lake surrounded by mountains,https://storage.yandexcloud.net/svg-images-first-pack/goodBreathlessSummitsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an old fashioned television and a keyboard,https://storage.yandexcloud.net/svg-images-first-pack/good1576596860commodoor64andtvsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  valentine's day origami heart,https://storage.yandexcloud.net/svg-images-first-pack/good1392078356svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black man in a green shirt with a white background,https://storage.yandexcloud.net/svg-images-first-pack/good15268516101svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon girl sitting on a couch with a cat and an octopus,https://storage.yandexcloud.net/svg-images-first-pack/good1421536845svg.png,5.0,5.0,5.0,5.0,4.0,4.0,3.5,3.0,3.625
  a molecule with three balls on it,https://storage.yandexcloud.net/svg-images-first-pack/good3bolAASsvg.png,4.0,4.0,3.0,4.0,2.5,2.5,2.0,2.5,2.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1576897893liondeersvg.png,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.5
  a black and white photo of a cat,https://storage.yandexcloud.net/svg-images-first-pack/goodbocpuppysittingsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a red and white symbol on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodbugmenotpeacesignsvg.png,3.0,3.0,2.0,4.0,3.5,2.5,1.5,4.0,2.875
"  a yellow pencil with the word ""special"" on it",https://storage.yandexcloud.net/svg-images-first-pack/goodblphotoPencilsvg.png,1.0,1.0,1.0,1.0,2.5,2.0,2.5,2.0,2.25
  a cartoon boy in green soccer uniform,https://storage.yandexcloud.net/svg-images-first-pack/good1526494164svg.png,1.0,1.0,5.0,4.0,3.0,2.0,3.5,4.0,3.125
  a yellow hard hat icon on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodapplicationsdevelopmentsvg.png,4.0,4.0,4.0,4.0,2.5,2.5,2.5,2.5,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1537723600svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black graduation cap with a yellow ribbon,https://storage.yandexcloud.net/svg-images-first-pack/good1447619279svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a pixelated image of a black cat with its mouth open,https://storage.yandexcloud.net/svg-images-first-pack/goodangrydog2svg.png,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5
  a cartoon ship with a crane on top,https://storage.yandexcloud.net/svg-images-first-pack/good1293367573svg.png,4.0,4.0,4.0,4.0,4.0,3.5,3.5,4.0,3.75
  a cartoon tiger holding a camera,https://storage.yandexcloud.net/svg-images-first-pack/goodcamelcomicfotosvg.png,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.5,1.625
  a woman holding an egg and whisking it,https://storage.yandexcloud.net/svg-images-first-pack/good1526437422svg.png,1.0,1.0,1.0,1.0,2.5,2.5,3.0,2.5,2.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodChineseNewYear2017FolkDecoration12017013011svg.png,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25
  a white delivery truck is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodBoxTruck01svg.png,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter334svg.png,1.0,1.0,1.0,1.0,2.5,3.0,3.0,2.5,2.75
  a cartoon tree house with a boy and a girl,https://storage.yandexcloud.net/svg-images-first-pack/good1420117771svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an owl sitting in a nest with grass,https://storage.yandexcloud.net/svg-images-first-pack/goodburrowingowlsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an owl with red eyes and a big nose,https://storage.yandexcloud.net/svg-images-first-pack/goodbuhosvg.png,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter267svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  search for a file in windows explorer,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousSpybot1svg.png,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good35Mark10465204svg.png,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
  a black background with a yellow line on it,https://storage.yandexcloud.net/svg-images-first-pack/good1396435340svg.png,5.0,4.0,4.0,4.0,3.0,2.5,2.5,2.5,2.625
  a cartoon yak with horns and long horns,https://storage.yandexcloud.net/svg-images-first-pack/good1295552367svg.png,5.0,2.0,3.0,4.0,4.0,2.5,3.0,3.5,3.25
  the lotus flower is an orange flower,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymouslotussvg.png,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a cartoon man with a computer keyboard on his face,https://storage.yandexcloud.net/svg-images-first-pack/good1541276852svg.png,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5,2.875
  a cartoon of an indian flag with two planes flying in front of it,https://storage.yandexcloud.net/svg-images-first-pack/good1344954055svg.png,1.0,2.0,2.0,1.0,3.0,3.5,3.5,1.0,2.75
  three people sitting at a table with drinks,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousArchitettoAlbarsvg.png,3.0,3.0,4.0,3.0,3.5,3.5,4.0,3.5,3.625
  a group of three apples and two blue and pink balloons,https://storage.yandexcloud.net/svg-images-first-pack/goodalphasvg.png,2.0,2.0,3.0,2.0,3.0,3.0,3.5,3.0,3.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter133svg.png,1.0,2.0,2.0,3.0,1.0,1.5,2.5,2.0,1.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1572098959Grunge05svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the logo for information libre,https://storage.yandexcloud.net/svg-images-first-pack/goodbenInformationlibreFreeInformationsvg.png,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5
  a black and white logo with a white arrow,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousnortharrowsvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  darts on a black background with red and green stripes,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousdartboardsvg.png,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.5,3.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1392497142svg.png,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.25
  a rainbow colored spiral in a circle,https://storage.yandexcloud.net/svg-images-first-pack/good1532420812svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
  a black and white image of a knife,https://storage.yandexcloud.net/svg-images-first-pack/good1298928176svg.png,2.0,3.0,2.0,1.0,3.5,4.0,1.5,3.0,3.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1303168516svg.png,1.0,2.0,2.0,1.0,2.0,2.5,2.0,2.0,2.125
  a triangle with a rainbow colored background,https://storage.yandexcloud.net/svg-images-first-pack/good1543319359svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  an orange and blue geometric pattern,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern287svg.png,5.0,4.0,4.0,3.0,3.0,2.5,2.5,3.0,2.75
  a yellow biohazard symbol on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodbiosaftysvg.png,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.25
  squirrels and maple leaves pattern,https://storage.yandexcloud.net/svg-images-first-pack/goodautumnseamlesspattern01svg.png,5.0,5.0,3.0,2.0,3.0,5.0,4.0,3.5,3.875
  a city at night with buildings and lights,https://storage.yandexcloud.net/svg-images-first-pack/goodbuildingsnighticonsvg.png,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0
  the logo for sma scoop,https://storage.yandexcloud.net/svg-images-first-pack/good1537731967svg.png,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1475142237svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  car clip art free download,https://storage.yandexcloud.net/svg-images-first-pack/good1527810999svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a cartoon bird with a hat and red shoes,https://storage.yandexcloud.net/svg-images-first-pack/good1471225529svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  clouds icon set - screenshot,https://storage.yandexcloud.net/svg-images-first-pack/goodBlackButtonssvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a thumb up icon with a blue hand,https://storage.yandexcloud.net/svg-images-first-pack/good1527857181svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodChumSalmon2016011614svg.png,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticKnotMandala17svg.png,3.0,3.0,3.0,4.0,3.5,3.0,3.0,3.5,3.25
  a green jar with a lid on it,https://storage.yandexcloud.net/svg-images-first-pack/goodalchemyextremelyhallowedshrinepowdersvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcavemanaxetorchsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon man with glasses and a red nose,https://storage.yandexcloud.net/svg-images-first-pack/good1472316157svg.png,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0
  a pink butterfly with black background,https://storage.yandexcloud.net/svg-images-first-pack/good1369368221svg.png,4.0,3.0,3.0,3.0,4.5,4.0,4.0,4.0,4.125
  a cartoon baby with blue hair and a yellow hat,https://storage.yandexcloud.net/svg-images-first-pack/good1430974288svg.png,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
  a black and white illustration of a flower,https://storage.yandexcloud.net/svg-images-first-pack/goodcrackersvg.png,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0
  a cartoon man with a helmet and green eyes,https://storage.yandexcloud.net/svg-images-first-pack/good1464664414svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCenterpoint2015020103svg.png,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,2.875
  a laptop computer with a blue screen,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousLaptopsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  the face of a man with a beard and mustache,https://storage.yandexcloud.net/svg-images-first-pack/good1512948390svg.png,2.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1541380230svg.png,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0
  a drawing of a man in a shirt and tie,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonstylepersonwithtrianglehairandsunglassessvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodarobasesymbolsvg.png,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0
  a green bookcase with two shelves,https://storage.yandexcloud.net/svg-images-first-pack/goodcomicShelvessvg.png,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,4.625
  a black and white drawing of a man on a horse,https://storage.yandexcloud.net/svg-images-first-pack/good1481380443svg.png,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.0,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCitizeniconsvg.png,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5
  a cartoon girl holding an umbrella,https://storage.yandexcloud.net/svg-images-first-pack/good1554941149svg.png,3.0,4.0,4.0,4.0,3.5,3.0,3.0,3.0,3.125
  a cartoon girl in a basketball uniform,https://storage.yandexcloud.net/svg-images-first-pack/good1430973991svg.png,4.0,2.0,2.0,3.0,4.5,3.5,3.5,4.0,3.875
  two red and green light bulbs with the letters m and m,https://storage.yandexcloud.net/svg-images-first-pack/goodBulb001svg.png,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.25
  a large bird standing on a hill,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardBrownBreastedRedGameCocksvg.png,4.0,4.0,4.0,4.0,2.5,2.5,2.5,2.5,2.5
"  a chocolate bar with a sign that says ""venus candy co""",https://storage.yandexcloud.net/svg-images-first-pack/goodcandybarsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1450305173svg.png,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25
  a pear with a green leaf on it,https://storage.yandexcloud.net/svg-images-first-pack/good1424294117svg.png,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.5
  candy cane clipart,https://storage.yandexcloud.net/svg-images-first-pack/good1542942540svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a computer generated image of a butterfly display,https://storage.yandexcloud.net/svg-images-first-pack/goodbluebutterfliessvg.png,5.0,4.0,3.0,2.0,4.0,4.0,3.5,3.5,3.75
  a cartoon blue robot with big eyes,https://storage.yandexcloud.net/svg-images-first-pack/goodbluecreaturesvg.png,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.5
  a black and white chess board with a wooden frame,https://storage.yandexcloud.net/svg-images-first-pack/good1385208704svg.png,2.0,1.0,1.0,1.0,2.5,1.5,2.0,2.0,2.0
  a colorful tree with many dots on it,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulValentineHeartsTree2svg.png,2.0,2.0,1.0,1.0,3.5,3.0,2.0,2.5,2.75
  a skull with a party hat and a bow,https://storage.yandexcloud.net/svg-images-first-pack/good1537265508svg.png,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractDesign42svg.png,1.0,2.0,3.0,3.0,1.0,1.5,2.0,2.0,1.625
  the wizard of oz poster,https://storage.yandexcloud.net/svg-images-first-pack/goodCowardlyLionWizardOfOzsvg.png,1.0,2.0,2.0,2.0,1.0,1.5,2.5,1.5,1.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodButterflyStencilsvg.png,1.0,2.0,2.0,2.0,1.5,2.0,1.5,2.0,1.75
  a black background with colorful squares,https://storage.yandexcloud.net/svg-images-first-pack/goodCuadradodecuadradossvg.png,1.0,2.0,3.0,3.0,1.0,2.5,4.0,2.0,2.375
